"Cost Centre","Centre Name","Code Name","State","Settlement Date","Acquisition Price","Cohort"
"A23480","The Learning Sanctuary Glen Iris","A23480 The Learning Sanctuary Glen Iris","VIC","14/11/2014","4622222.222222222","2018 Organic"
"E13278","Community Kids Melton Early Education Centre","E13278 Community Kids Melton Early Education Centre","VIC","13/12/2013","1448137.7333333334","2018 Organic"
"E13279","Melton World of Learning","E13279 Melton World of Learning","VIC","13/12/2013","1592951.5066666668","2018 Organic"
"E13558","Great Beginnings Brookfield","E13558 Great Beginnings Brookfield","VIC","04/08/2017","2237418.24","2017 Brownfields"
"E13560","Pelican Childcare Newbury Boulevard","E13560 Pelican Childcare Newbury Boulevard","VIC","04/08/2017","3937455.6","2017 Brownfields"
"E13586","Community Kids Horsham","E13586 Community Kids Horsham","VIC","03/11/2017","1871018.19","2017 Brownfields"
"E13615","Great Beginnings Taylors Lakes","E13615 Great Beginnings Taylors Lakes","VIC","23/08/2019","2597675","2019 Acquisitions"
"E33109","Community Kids Sunbury Early Education Centre","E33109 Community Kids Sunbury Early Education Centre","VIC","28/06/2010","994569","2018 Organic"
"E83193","Pelican Childcare Craigieburn","E83193 Pelican Childcare Craigieburn","VIC","09/11/2012","2260173","2018 Organic"
"E83195","Pelican Childcare Fairways","E83195 Pelican Childcare Fairways","VIC","09/11/2012","1307538","2018 Organic"
"E93273","Roscoe Avenue Children's Centre","E93273 Roscoe Avenue Children's Centre","VIC","29/11/2013","981552.6596726191","2018 Organic"
"Z53389","Melton Early Learning Centre","Z53389 Melton Early Learning Centre","VIC","04/07/2014","2255910.615612561","2018 Organic"
"E12037","Manly Vale Early Learning Services","E12037 Manly Vale Early Learning Services","NSW","14/12/2007","1800437.86","2018 Organic"
"E12038","Manly Vale Early Learning Services","E12038 Manly Vale Early Learning Services","NSW","14/12/2007","0.0","2018 Organic"
"E12039","Manly Vale Early Learning Services","E12039 Manly Vale Early Learning Services","NSW","14/12/2007","0.0","2018 Organic"
"E12040","Manly Vale Early Learning Services","E12040 Manly Vale Early Learning Services","NSW","14/12/2007","1954077.7","2018 Organic"
"E12041","Manly Vale Early Learning Services","E12041 Manly Vale Early Learning Services","NSW","14/12/2007","0.0","2018 Organic"
"E12042","Manly Vale Early Learning Services","E12042 Manly Vale Early Learning Services","NSW","14/12/2007","0.0","2018 Organic"
"E12428","Sandcastles Childcare Brookvale","E12428 Sandcastles Childcare Brookvale","NSW","05/09/2014","3397250.0361963194","2018 Organic"
"E12430","Sandcastles Childcare Mona Vale","E12430 Sandcastles Childcare Mona Vale","NSW","05/09/2014","3796926.511042945","2018 Organic"
"E12431","The Learning Sanctuary Freshwater","E12431 The Learning Sanctuary Freshwater","NSW","05/09/2014","3697007.3923312887","2018 Organic"
"E12522","Redman House Early Learning Centre 1","E12522 Redman House Early Learning Centre 1","NSW","21/08/2015","1104197.0126582277","2021 Divestments"
"E12523","Redman House Early Learning Centre 2","E12523 Redman House Early Learning Centre 2","NSW","21/08/2015","676038.9873417721","2021 Divestments"
"E12535","Earth Kids Early Learning Centre","E12535 Earth Kids Early Learning Centre","NSW","22/01/2016","1477000","2016 Acquisitions"
"Z12426","Sandcastles Childcare Kalang Road","Z12426 Sandcastles Childcare Kalang Road","NSW","05/09/2014","2507643.659817923","2018 Organic"
"Z12427","Sandcastles Childcare Elanora Heights","Z12427 Sandcastles Childcare Elanora Heights","NSW","05/09/2014","2294227.178131291","2018 Organic"
"Z42384","Balgowlah Kinder Haven","Z42384 Balgowlah Kinder Haven","NSW","23/05/2014","1538216.6874840567","2018 Organic"
