"Day","Description","Cost Centre","Target"
"2026-01-01","School Holidays","A11408","1"
"2026-01-01","School Holidays","E11034","1"
"2026-01-01","School Holidays","E11035","1"
"2026-01-01","School Holidays","E11085","1"
"2026-01-01","School Holidays","E11086","1"
"2026-01-01","School Holidays","E11554","1"
"2026-01-01","School Holidays","W31001","1"
"2026-01-01","School Holidays","Z51393","1"
"2026-01-01","School Holidays","Z51394","1"
"2026-01-01","School Holidays","E11087","1"
"2026-01-01","School Holidays","E11088","1"
"2026-01-01","School Holidays","E11158","1"
"2026-01-02","School Holidays","A11408","1"
"2026-01-02","School Holidays","E11034","1"
"2026-01-02","School Holidays","E11035","1"
"2026-01-02","School Holidays","E11085","1"
"2026-01-02","School Holidays","E11086","1"
"2026-01-02","School Holidays","E11554","1"
"2026-01-02","School Holidays","W31001","1"
"2026-01-02","School Holidays","Z51393","1"
"2026-01-02","School Holidays","Z51394","1"
"2026-01-02","School Holidays","E11087","1"
"2026-01-02","School Holidays","E11088","1"
"2026-01-02","School Holidays","E11158","1"
"2026-01-03","School Holidays","A11408","1"
"2026-01-03","School Holidays","E11034","1"
"2026-01-03","School Holidays","E11035","1"
"2026-01-03","School Holidays","E11085","1"
"2026-01-03","School Holidays","E11086","1"
"2026-01-03","School Holidays","E11554","1"
"2026-01-03","School Holidays","W31001","1"
"2026-01-03","School Holidays","Z51393","1"
"2026-01-03","School Holidays","Z51394","1"
"2026-01-03","School Holidays","E11087","1"
"2026-01-03","School Holidays","E11088","1"
"2026-01-03","School Holidays","E11158","1"
"2026-01-04","School Holidays","A11408","1"
"2026-01-04","School Holidays","E11034","1"
"2026-01-04","School Holidays","E11035","1"
"2026-01-04","School Holidays","E11085","1"
"2026-01-04","School Holidays","E11086","1"
"2026-01-04","School Holidays","E11554","1"
"2026-01-04","School Holidays","W31001","1"
"2026-01-04","School Holidays","Z51393","1"
"2026-01-04","School Holidays","Z51394","1"
"2026-01-04","School Holidays","E11087","1"
"2026-01-04","School Holidays","E11088","1"
"2026-01-04","School Holidays","E11158","1"
"2026-01-05","School Holidays","A11408","1"
"2026-01-05","School Holidays","E11034","1"
"2026-01-05","School Holidays","E11035","1"
"2026-01-05","School Holidays","E11085","1"
"2026-01-05","School Holidays","E11086","1"
"2026-01-05","School Holidays","E11554","1"
"2026-01-05","School Holidays","W31001","1"
"2026-01-05","School Holidays","Z51393","1"
"2026-01-05","School Holidays","Z51394","1"
"2026-01-05","School Holidays","E11087","1"
"2026-01-05","School Holidays","E11088","1"
"2026-01-05","School Holidays","E11158","1"
"2026-01-06","School Holidays","A11408","1"
"2026-01-06","School Holidays","E11034","1"
"2026-01-06","School Holidays","E11035","1"
"2026-01-06","School Holidays","E11085","1"
"2026-01-06","School Holidays","E11086","1"
"2026-01-06","School Holidays","E11554","1"
"2026-01-06","School Holidays","W31001","1"
"2026-01-06","School Holidays","Z51393","1"
"2026-01-06","School Holidays","Z51394","1"
"2026-01-06","School Holidays","E11087","1"
"2026-01-06","School Holidays","E11088","1"
"2026-01-06","School Holidays","E11158","1"
"2026-01-07","School Holidays","A11408","1"
"2026-01-07","School Holidays","E11034","1"
"2026-01-07","School Holidays","E11035","1"
"2026-01-07","School Holidays","E11085","1"
"2026-01-07","School Holidays","E11086","1"
"2026-01-07","School Holidays","E11554","1"
"2026-01-07","School Holidays","W31001","1"
"2026-01-07","School Holidays","Z51393","1"
"2026-01-07","School Holidays","Z51394","1"
"2026-01-07","School Holidays","E11087","1"
"2026-01-07","School Holidays","E11088","1"
"2026-01-07","School Holidays","E11158","1"
"2026-01-08","School Holidays","A11408","1"
"2026-01-08","School Holidays","E11034","1"
"2026-01-08","School Holidays","E11035","1"
"2026-01-08","School Holidays","E11085","1"
"2026-01-08","School Holidays","E11086","1"
"2026-01-08","School Holidays","E11554","1"
"2026-01-08","School Holidays","W31001","1"
"2026-01-08","School Holidays","Z51393","1"
"2026-01-08","School Holidays","Z51394","1"
"2026-01-08","School Holidays","E11087","1"
"2026-01-08","School Holidays","E11088","1"
"2026-01-08","School Holidays","E11158","1"
"2026-01-09","School Holidays","A11408","1"
"2026-01-09","School Holidays","E11034","1"
"2026-01-09","School Holidays","E11035","1"
"2026-01-09","School Holidays","E11085","1"
"2026-01-09","School Holidays","E11086","1"
"2026-01-09","School Holidays","E11554","1"
"2026-01-09","School Holidays","W31001","1"
"2026-01-09","School Holidays","Z51393","1"
"2026-01-09","School Holidays","Z51394","1"
"2026-01-09","School Holidays","E11087","1"
"2026-01-09","School Holidays","E11088","1"
"2026-01-09","School Holidays","E11158","1"
