unique_id,ds,XGBRegressor
Z34417,2025-04-01,65.756874
Z34417,2025-04-02,65.08803
Z34417,2025-04-03,58.245026
Z34417,2025-04-04,53.653137
Z34417,2025-04-05,52.4034
Z34417,2025-04-06,52.088356
Z34417,2025-04-07,53.75236
Z34417,2025-04-08,65.75053
Z34417,2025-04-09,65.15259
Z34417,2025-04-10,58.187572
Z34417,2025-04-11,53.988724
Z34417,2025-04-12,49.83262
Z34417,2025-04-13,50.3713
Z34417,2025-04-14,56.002907
Z34417,2025-04-15,65.20746
Z34417,2025-04-16,65.25266
Z34417,2025-04-17,59.716705
Z34417,2025-04-18,57.563046
Z34417,2025-04-19,53.33493
Z34417,2025-04-20,51.37356
Z34417,2025-04-21,55.60366
Z34417,2025-04-22,64.894806
Z34417,2025-04-23,64.995094
Z34417,2025-04-24,61.472702
Z34417,2025-04-25,56.890217
Z34417,2025-04-26,54.016945
Z34417,2025-04-27,51.85559
Z34417,2025-04-28,55.01724
Z34422,2025-04-01,95.644615
Z34422,2025-04-02,97.84197
Z34422,2025-04-03,100.38697
Z34422,2025-04-04,89.047005
Z34422,2025-04-05,86.8441
Z34422,2025-04-06,86.8441
Z34422,2025-04-07,77.29119
Z34422,2025-04-08,95.35513
Z34422,2025-04-09,97.415985
Z34422,2025-04-10,98.39859
Z34422,2025-04-11,89.55199
Z34422,2025-04-12,83.934364
Z34422,2025-04-13,81.56433
Z34422,2025-04-14,77.34344
Z34422,2025-04-15,94.283
Z34422,2025-04-16,96.2819
Z34422,2025-04-17,97.08907
Z34422,2025-04-18,88.47985
Z34422,2025-04-19,82.10629
Z34422,2025-04-20,81.61585
Z34422,2025-04-21,77.34344
Z34422,2025-04-22,94.283
Z34422,2025-04-23,94.15704
Z34422,2025-04-24,95.88995
Z34422,2025-04-25,87.04247
Z34422,2025-04-26,82.05175
Z34422,2025-04-27,81.82957
Z34422,2025-04-28,77.34344
